scaffold_smiles,scaffold_type,scaffold_heavy_atoms,n_molecules,mean_value,min_value,max_value,spread
c1ccc(-c2ccccc2)cc1,linked_ring_systems,12,15,4.67,2.39,6.04,3.65
c1ccc2c(c1)CNC2,ring_system,9,11,4.52,2.06,5.71,3.65
C1CCCNCC1,ring_system,7,13,4.87,2.03,5.67,3.64
c1ccc(SN2CCCCC2)cc1,linked_ring_systems,13,3,4.37,2.42,6.04,3.62
c1ccc(NSc2ccccc2)cc1,linked_ring_systems,14,10,4.36,2.06,5.67,3.61
c1ccc2sccc2c1,ring_system,9,13,4.55,1.96,5.54,3.58
c1cnc(-c2cccnc2)nc1,linked_ring_systems,12,3,3.92,2.0,5.55,3.55
C1COCCN1,ring_system,6,54,4.76,2.86,6.4,3.54
c1ccc(N2CCNCC2)cc1,linked_ring_systems,12,11,4.61,2.39,5.92,3.53
c1ccc(Cn2ccnn2)cc1,linked_ring_systems,12,8,4.86,2.66,6.18,3.52
c1ccc(CNc2ccccc2)cc1,linked_ring_systems,14,12,4.86,3.12,6.62,3.5
c1ccc(-c2nnco2)cc1,linked_ring_systems,11,6,4.27,2.09,5.58,3.49
c1nnco1,ring_system,5,8,4.42,2.09,5.58,3.49
C1CNCCNC1,ring_system,7,11,4.83,2.72,6.19,3.47
c1ccc(-c2cscn2)cc1,linked_ring_systems,11,7,4.26,2.04,5.51,3.47
c1ccc2[nH]cnc2c1,ring_system,9,30,4.42,2.0,5.46,3.46
c1ccc(-n2ccnc2)nc1,linked_ring_systems,11,23,5.52,3.46,6.91,3.45
c1cc(N2CCNCC2)ncn1,linked_ring_systems,12,6,4.53,2.39,5.84,3.45
c1cnc(N2CCCCC2)nc1,linked_ring_systems,12,6,4.68,2.58,6.03,3.45
c1ccc2c(c1)CCCN2,ring_system,10,10,4.1,2.0,5.44,3.44
c1ccc2c(c1)CCN2,ring_system,9,20,4.66,2.71,6.14,3.43
C1CC2(C1)CCC2,ring_system,7,6,4.42,2.01,5.41,3.4
c1nc2c(s1)CCCC2,ring_system,9,3,4.35,2.18,5.55,3.37
c1ccc(CC2CCCN2)cc1,linked_ring_systems,12,8,4.95,3.85,7.19,3.34
c1cc2cc[nH]c2cn1,ring_system,9,3,3.93,2.08,5.32,3.24
c1ccc(C2CC2)cc1,linked_ring_systems,9,19,4.34,2.05,5.25,3.2
c1ccc(Cn2cncn2)cc1,linked_ring_systems,12,3,4.03,2.04,5.23,3.19
C1=NNCc2ccccc21,ring_system,10,7,4.55,2.71,5.89,3.18
c1ccc(N2CCCC2)cc1,linked_ring_systems,11,21,4.26,2.12,5.29,3.17
c1ccc(Cn2ccnc2)cc1,linked_ring_systems,12,16,5.49,3.73,6.9,3.17
c1ccc(CNCc2cscn2)cc1,linked_ring_systems,14,4,4.38,2.64,5.8,3.16
C1=Cc2ccccc2OC1,ring_system,10,4,4.04,1.96,5.12,3.16
c1ncc2nc[nH]c2n1,ring_system,9,4,5.53,4.2,7.36,3.16
c1ccc(-n2ccnn2)cc1,linked_ring_systems,11,15,5.18,4.14,7.28,3.14
c1ccc(Cc2cncs2)cc1,linked_ring_systems,12,3,3.93,2.1,5.22,3.12
c1ccc(-c2ncco2)cc1,linked_ring_systems,11,10,5.08,4.09,7.19,3.1
c1ncc2ccsc2n1,ring_system,9,9,4.7,2.45,5.55,3.1
c1cnnc(N2CCCCC2)c1,linked_ring_systems,12,4,4.31,2.72,5.81,3.09
c1cc2n(n1)CCCC2,ring_system,9,3,4.08,2.05,5.13,3.08
C1CCCC1,ring_system,5,49,4.89,3.54,6.61,3.07
c1cc(C2CC2)n[nH]1,linked_ring_systems,8,3,3.75,1.96,5.0,3.04
c1ccc(CNCC2CC2)cc1,linked_ring_systems,12,6,5.38,4.5,7.53,3.03
c1ccc2c(c1)CCCO2,ring_system,10,16,5.35,4.44,7.47,3.03
c1csc(CN2CCCCC2)c1,linked_ring_systems,12,6,4.63,2.83,5.84,3.01
c1ccc(-c2cnco2)cc1,linked_ring_systems,11,3,5.02,3.4,6.41,3.01
c1ccc(CNCC2CCNC2)cc1,linked_ring_systems,14,6,4.38,2.22,5.21,2.99
C1CCOCC1,ring_system,6,24,5.07,4.13,7.08,2.95
c1ccc(CNc2cn[nH]c2)cc1,linked_ring_systems,13,3,3.18,1.96,4.9,2.94
c1ccc(-n2cccn2)nc1,linked_ring_systems,11,6,4.51,2.83,5.76,2.93
C1CCCCC1,ring_system,6,48,5.05,4.2,7.11,2.91
c1cc(OC2CCNCC2)ccn1,linked_ring_systems,13,3,5.6,4.38,7.28,2.9
c1ccc2c(c1)CCC2,ring_system,9,22,5.14,4.2,7.07,2.87
c1ccc(Oc2ccccc2)cc1,linked_ring_systems,13,9,4.2,2.07,4.94,2.87
c1ccc(CCN2CCCC2)cc1,linked_ring_systems,13,4,4.21,2.53,5.37,2.84
c1cc(C2CC2)[nH]n1,linked_ring_systems,8,4,3.94,2.01,4.84,2.83
c1nnc[nH]1,ring_system,5,17,4.34,2.32,5.13,2.81
C1CCOC1,ring_system,5,23,5.08,4.11,6.9,2.79
c1csc(-c2cc[nH]n2)c1,linked_ring_systems,10,3,3.76,1.95,4.68,2.73
c1ccc(Nc2nccs2)cc1,linked_ring_systems,12,4,3.33,2.04,4.76,2.72
c1ccc2c(c1)CCNCC2,ring_system,11,4,4.65,3.17,5.88,2.71
c1nn[nH]n1,ring_system,5,6,4.01,2.35,5.04,2.69
C1CN(C2CCOCC2)CCN1,linked_ring_systems,12,4,5.59,4.42,7.08,2.66
c1ccc2c(c1)NCC21CCCC1,ring_system,13,3,3.54,2.06,4.72,2.66
c1nc(CN2CCCC2)co1,linked_ring_systems,11,3,5.56,4.58,7.19,2.61
c1ccc(-n2ccnc2)cc1,linked_ring_systems,11,28,5.55,4.36,6.96,2.6
c1ccc([C@H]2CCNC2)cc1,linked_ring_systems,11,4,5.01,3.83,6.42,2.59
C1=CCNC=C1,ring_system,6,7,4.19,2.5,5.08,2.58
c1ccc2ocnc2c1,ring_system,9,5,3.9,2.3,4.87,2.57
c1ccc(Oc2ccncc2)cc1,linked_ring_systems,13,4,5.55,4.77,7.29,2.52
C1CC2CNC[C@@H]2C1,ring_system,8,4,4.98,4.0,6.52,2.52
c1ccc(-c2ncon2)cc1,linked_ring_systems,11,18,5.08,4.2,6.66,2.46
c1ccc2c(c1)NCN2,ring_system,9,7,5.32,4.56,6.97,2.41
c1cncc(-c2cc[nH]n2)c1,linked_ring_systems,11,5,4.85,3.22,5.61,2.39
c1ccc(Cc2ccccc2)cc1,linked_ring_systems,13,17,5.33,4.28,6.67,2.39
c1ccc2c(N3CCCCC3)ccnc2c1,linked_ring_systems,16,3,5.95,4.43,6.79,2.36
c1ncc2cc[nH]c2n1,ring_system,9,7,4.32,2.72,5.08,2.36
c1ccc(CC2CNCCN2)cc1,linked_ring_systems,13,3,5.5,4.28,6.63,2.35
c1ccc(NCc2cccnc2)cc1,linked_ring_systems,14,5,4.01,2.32,4.65,2.33
c1ccc(CNC2CCC2)cc1,linked_ring_systems,12,3,3.55,2.05,4.36,2.31
c1ccc(CN2CCNCC2)cc1,linked_ring_systems,13,10,5.27,4.33,6.63,2.3
c1ccc(CCCN2CCCCC2)cc1,linked_ring_systems,15,7,4.85,4.15,6.45,2.3
c1ccc(CNC2CCNCC2)cc1,linked_ring_systems,14,6,5.33,4.34,6.61,2.27
c1ccc2c(c1)CCCC2,ring_system,10,16,4.95,4.13,6.34,2.21
c1ccc(-c2nnc[nH]2)cc1,linked_ring_systems,11,3,3.77,2.32,4.52,2.2
c1ccc(Cc2ncon2)cc1,linked_ring_systems,12,3,3.43,2.04,4.22,2.18
c1ccc(-c2nc3ccccc3[nH]2)cc1,linked_ring_systems,15,3,4.18,3.12,5.28,2.16
c1ccc(C2CNCCN2)cc1,linked_ring_systems,12,7,5.53,4.43,6.57,2.14
C1=CCCCC1,ring_system,6,3,4.25,2.87,5.0,2.13
c1cnc(OC2CCNCC2)cn1,linked_ring_systems,13,5,5.82,4.83,6.94,2.11
c1cn(C2CCCNC2)cn1,linked_ring_systems,11,6,5.37,4.35,6.41,2.06
c1ccc2c(c1)NCCO2,ring_system,10,7,4.85,3.57,5.63,2.06
C1CNC1,ring_system,4,28,4.69,4.2,6.26,2.06
C1CNCN1,ring_system,5,4,4.37,3.26,5.28,2.02
c1ccc(CCNCc2ccccc2)cc1,linked_ring_systems,16,7,5.68,4.93,6.91,1.98
c1ccc(CCN2CCCCC2)cc1,linked_ring_systems,14,10,4.76,4.14,6.11,1.97
c1ccc(C2CCCN2)cc1,linked_ring_systems,11,4,5.18,4.48,6.43,1.95
c1ccc2c(C3CCNCC3)c[nH]c2c1,linked_ring_systems,15,3,5.76,5.09,7.02,1.93
c1cn2nccc2cn1,ring_system,9,4,4.47,3.17,5.08,1.91
c1ccc(CNCc2ccccc2)cc1,linked_ring_systems,15,5,5.61,4.79,6.62,1.83
c1ncc2nn[nH]c2n1,ring_system,9,4,4.72,3.77,5.55,1.78
c1ccc(C2CCNCC2)cc1,linked_ring_systems,12,6,4.72,4.11,5.79,1.68
c1cnc2c(c1)CCCC2,ring_system,10,3,5.3,4.7,6.37,1.67
c1ccc(C2CCCC2)cc1,linked_ring_systems,11,4,4.43,3.54,5.18,1.64
c1n[nH]c2c1CCCC2,ring_system,9,9,4.57,4.09,5.69,1.6
c1ccc2c(c1)CCCCO2,ring_system,11,3,5.26,4.4,5.99,1.59
c1ccn2nccc2c1,ring_system,9,3,4.69,3.85,5.42,1.57
c1ccc2c(c1)CNCCO2,ring_system,11,5,4.86,4.51,6.08,1.57
c1ccc(CCCCN2CCCCC2)cc1,linked_ring_systems,16,5,5.36,4.52,6.08,1.56
c1ccc(CCN2CCNCC2)cc1,linked_ring_systems,14,7,4.89,4.34,5.84,1.5
c1ccc(N2CCNCC2)nc1,linked_ring_systems,12,7,4.93,4.32,5.81,1.49
c1cc(N2CCCC2)ncn1,linked_ring_systems,11,4,5.17,4.53,5.98,1.45
c1ccc(CNc2ccncc2)cc1,linked_ring_systems,14,4,5.14,4.38,5.82,1.44
c1ccc2c(c1)OCCO2,ring_system,10,9,4.67,4.14,5.57,1.43
c1ccc(CC2CCNCC2)cc1,linked_ring_systems,13,5,4.67,4.14,5.56,1.42
c1ncc2c(n1)CCC2,ring_system,9,3,5.27,4.49,5.88,1.39
c1ccc(NCCN2CCCC2)cc1,linked_ring_systems,14,3,5.41,4.6,5.99,1.39
c1ccc(-n2cncn2)nc1,linked_ring_systems,11,3,4.96,4.45,5.84,1.39
c1ccn2ccnc2c1,ring_system,9,7,4.64,4.3,5.66,1.36
c1ccc(CN2CCCCC2)cc1,linked_ring_systems,13,9,4.95,4.34,5.69,1.35
c1ccc(Oc2ccncn2)cc1,linked_ring_systems,13,3,4.74,4.29,5.61,1.32
c1cc(-c2ncon2)ccn1,linked_ring_systems,11,4,5.03,4.34,5.65,1.31
c1ccc(CC2CCNC2)cc1,linked_ring_systems,12,7,4.74,4.29,5.59,1.3
c1cc2cc(-c3c[nH]nn3)ccc2cn1,linked_ring_systems,15,3,4.81,4.14,5.43,1.29
c1ccc(CNCCN2CCNCC2)cc1,linked_ring_systems,16,4,4.83,4.42,5.7,1.28
c1ccn2cncc2c1,ring_system,9,5,5.19,4.54,5.8,1.26
c1ccc(C2CCCCC2)cc1,linked_ring_systems,12,3,4.63,4.21,5.46,1.25
c1ccc(Cn2cccn2)cc1,linked_ring_systems,12,7,4.86,4.36,5.61,1.25
c1cn(CC2CCCC2)cn1,linked_ring_systems,11,8,4.96,4.36,5.6,1.24
c1ccc(-c2ccncc2)cc1,linked_ring_systems,12,6,5.09,4.53,5.76,1.23
c1cnn(C2CCC2)c1,linked_ring_systems,9,3,4.71,4.3,5.5,1.2
c1nncs1,ring_system,5,6,4.97,4.4,5.59,1.19
c1ccc(CNCCNc2ccccc2)cc1,linked_ring_systems,17,3,5.07,4.58,5.76,1.18
c1ccc(-c2ncon2)nc1,linked_ring_systems,11,4,5.0,4.31,5.48,1.17
c1n[nH]cc1CN1CCCCC1,linked_ring_systems,12,3,4.84,4.29,5.44,1.15
c1ccc(CNCN2CCCCC2)cc1,linked_ring_systems,15,3,4.86,4.43,5.58,1.15
c1ccc(Nc2ccccc2)cc1,linked_ring_systems,13,3,4.83,4.18,5.28,1.1
c1ccc(N2CCCCC2)nc1,linked_ring_systems,12,7,4.65,4.29,5.39,1.1
c1cc(N2CCCCC2)ncn1,linked_ring_systems,12,4,4.52,3.87,4.95,1.08
c1cnn(C2CCCC2)c1,linked_ring_systems,10,5,4.84,4.38,5.43,1.05
c1cc(-c2nncs2)no1,linked_ring_systems,10,4,4.93,4.4,5.45,1.05
C1=CCNN=C1,ring_system,6,3,4.48,3.92,4.97,1.05
c1cnn2cnnc2c1,ring_system,9,3,4.79,4.3,5.31,1.01
c1ccc(CNC2CC2)cc1,linked_ring_systems,11,3,4.52,4.0,5.01,1.01
c1cc(C2CCNCC2)ccn1,linked_ring_systems,12,3,5.67,5.03,6.03,1.0
c1ccc(-c2cccnc2)cc1,linked_ring_systems,12,5,4.61,3.94,4.93,0.99
c1cnc(N2CCNCC2)nc1,linked_ring_systems,12,3,4.35,3.83,4.77,0.94
c1cnc2ccnn2c1,ring_system,9,6,4.7,4.34,5.27,0.93
C1=NCCN1,ring_system,5,7,4.71,4.36,5.28,0.92
c1ncc2cn[nH]c2n1,ring_system,9,5,4.67,4.17,5.09,0.92
C1NCC2CC12,ring_system,6,4,4.99,4.51,5.42,0.91
C1CCC(N2CCOCC2)CC1,linked_ring_systems,12,3,5.39,4.93,5.82,0.89
c1ccc(SN2CCNCC2)cc1,linked_ring_systems,13,4,4.63,4.14,5.03,0.89
c1ccc(CN2CCCC2)cc1,linked_ring_systems,12,5,5.6,5.23,6.11,0.88
c1cc(-c2cc[nH]n2)ccn1,linked_ring_systems,11,4,4.75,4.34,5.21,0.87
c1ccc2c(c1)CCCNCC2,ring_system,12,4,4.79,4.55,5.41,0.86
c1ccc2c(c1)NCN2C1CCNCC1,linked_ring_systems,15,3,5.03,4.57,5.43,0.86
c1nc2c([nH]1)CCCC2,ring_system,9,5,4.86,4.39,5.22,0.83
c1ccc2c(c1)NCO2,ring_system,9,4,5.72,5.35,6.12,0.77
c1ncc2c(n1)CCCC2,ring_system,10,4,4.59,4.3,5.05,0.75
C1=Nc2[nH]ncc2CN1,ring_system,9,3,4.64,4.23,4.96,0.73
c1ccc(OCc2cccnc2)cc1,linked_ring_systems,14,4,4.94,4.57,5.28,0.71
c1ccc2oncc2c1,ring_system,9,4,4.63,4.37,5.08,0.71
c1ccc(-c2nccs2)cc1,linked_ring_systems,11,5,4.69,4.25,4.95,0.7
C1CN(CC2CC2)CCN1,linked_ring_systems,10,3,4.72,4.44,5.13,0.69
c1cnc2[nH]ncc2c1,ring_system,9,8,4.66,4.34,5.0,0.66
c1ccc(-c2ncno2)cc1,linked_ring_systems,11,4,4.84,4.53,5.17,0.64
c1ccc2c(c1)Nc1ccccc1S2,ring_system,14,10,5.84,5.54,6.17,0.63
c1ccc2nc(-c3ccncc3)ncc2c1,linked_ring_systems,16,3,5.21,4.92,5.55,0.63
c1ccc(CNCc2cn[nH]c2)cc1,linked_ring_systems,14,4,4.77,4.57,5.2,0.63
c1ccc(C2CCCNC2)cc1,linked_ring_systems,12,3,4.88,4.49,5.11,0.62
c1ccc(COc2ccccc2)cc1,linked_ring_systems,14,3,4.9,4.57,5.18,0.61
c1cnc(C2CC2)nc1,linked_ring_systems,9,4,4.66,4.41,5.01,0.6
c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,linked_ring_systems,23,4,5.89,5.58,6.17,0.59
c1ccc(N2CCCCC2)cc1,linked_ring_systems,12,7,4.42,4.1,4.68,0.58
c1ccc(NCc2cccs2)cc1,linked_ring_systems,13,4,4.62,4.3,4.88,0.58
c1ccc(C2CCNC2)cc1,linked_ring_systems,11,7,4.68,4.45,5.02,0.57
c1cn2c(n1)CCCC2,ring_system,9,3,4.6,4.38,4.94,0.56
c1ccc(Cc2ccncc2)cc1,linked_ring_systems,13,3,5.35,5.06,5.61,0.55
c1ccc(-c2ncc[nH]2)cc1,linked_ring_systems,11,3,4.63,4.34,4.87,0.53
c1ccc2c(N3CCNCC3)ccnc2c1,linked_ring_systems,16,3,4.89,4.64,5.12,0.48
c1cnc(N2CCNCC2)cn1,linked_ring_systems,12,4,4.95,4.73,5.19,0.46
c1ccc(Oc2cccnc2)cc1,linked_ring_systems,13,3,4.96,4.77,5.23,0.46
c1ccc(CCn2ccnc2)cc1,linked_ring_systems,13,4,5.16,4.93,5.38,0.45
c1nnc2n1CCCC2,ring_system,9,4,4.51,4.22,4.66,0.44
c1ccc(CC2CCCCC2)cc1,linked_ring_systems,13,4,5.05,4.81,5.25,0.44
c1ccc(NCC2CCNC2)cc1,linked_ring_systems,13,3,4.69,4.53,4.9,0.37
c1ncsn1,ring_system,5,4,4.88,4.74,5.03,0.29
c1c[nH]c(C2CCCNC2)n1,linked_ring_systems,11,3,4.38,4.2,4.49,0.29
c1ccc(NCC2CCCCN2)cc1,linked_ring_systems,14,3,5.36,5.25,5.51,0.26
c1ccc(C2CNCCO2)cc1,linked_ring_systems,12,4,4.54,4.44,4.7,0.26
c1ccc(-c2c[nH]nn2)cc1,linked_ring_systems,11,5,4.38,4.3,4.55,0.25
c1cnn(CC2CCCC2)c1,linked_ring_systems,11,3,5.23,5.11,5.34,0.23
c1ccc2c(C3CCNCC3)noc2c1,linked_ring_systems,15,3,4.48,4.37,4.6,0.23
C1CNCCOC1,ring_system,7,3,4.6,4.51,4.66,0.15
c1ccc2c(c1)COC2,ring_system,9,3,4.45,4.37,4.52,0.15
c1cnsc1,ring_system,5,3,4.58,4.49,4.63,0.14
c1ccc(CC2CNC2)cc1,linked_ring_systems,11,3,4.61,4.52,4.66,0.14
c1ccc(-n2cnc3ccccc32)cc1,linked_ring_systems,15,3,4.84,4.79,4.92,0.13
c1ccc(N2CCCC2)nc1,linked_ring_systems,11,4,4.44,4.37,4.49,0.12
